ticker,start_date,end_date
NSR,2012-12-01,2017-10-01
NST,2012-12-01,2013-09-01
NTCT,2017-01-01,2021-12-01
NTNX,2025-11-01,
NUS,2017-04-01,2023-01-01
NUVA,2017-01-01,2023-01-01
NVE,2012-12-01,2015-06-01
NVR,2012-12-01,2019-11-01
NVST,2021-05-01,
NVT,2018-06-01,
NWE,2017-01-01,
NXST,2023-01-01,
NXT,2024-07-01,
NYB,2012-12-01,2013-12-01
NYCB,2013-12-01,2025-02-01
NYT,2012-12-01,
O,2012-12-01,2015-06-01
OA,2015-06-01,2018-08-01
OAS,2018-07-01,2020-11-01
OC,2019-11-01,
OCR,2012-12-01,2017-01-01
ODFL,2015-06-01,2020-11-01
ODP,2012-12-01,2021-01-01
OFC,2012-12-01,2023-11-01
OGE,2012-12-01,
OGS,2015-06-01,
OHI,2012-12-01,
OI,2017-01-01,2021-04-01
OII,2012-12-01,2020-11-01
OIS,2013-12-01,2017-11-01
OKTA,2025-05-01,
OLED,2019-10-01,
OLLI,2018-08-01,
OLN,2012-12-01,
OMCL,2022-08-01,2023-11-01
OMI,2012-12-01,2018-05-01
ONB,2022-03-01,
ONTO,2023-11-01,
OPCH,2021-09-01,
ORA,2022-08-01,
ORI,2012-12-01,
OSG,2012-12-01,2013-09-01
OSK,2012-12-01,
OVV,2023-07-01,
OZK,2018-08-01,
OZRK,2015-07-01,2018-08-01
P,2026-06-01,
PACW,2012-12-01,2013-12-01
PACW,2015-06-01,2023-05-01
PAG,2023-09-01,
PATH,2026-02-01,
PAY,2013-12-01,2018-09-01
PB,2013-09-01,
PBF,2017-05-01,2021-01-01
PBF,2023-01-01,
PBH,2017-01-01,2021-04-01
PBI,2017-04-01,2019-10-01
PCH,2012-12-01,2026-02-01
PCTY,2021-03-01,
PCX,2012-12-01,2013-12-01
PDCE,2022-03-01,2023-09-01
PDCO,2018-05-01,2024-02-01
PDE,2012-12-01,2013-09-01
PEB,2019-10-01,2023-04-01
PEGA,2025-06-01,
PEN,2019-11-01,
PENN,2018-11-01,2021-04-01
PENN,2022-10-01,2024-07-01
PETM,2012-12-01,2013-09-01
PFGC,2021-10-01,
PGNY,2021-05-01,2024-10-01
PII,2012-12-01,
PINS,2026-02-01,
PK,2019-11-01,
PKG,2012-12-01,2017-09-01
PL,2012-12-01,2015-06-01
PLCM,2012-12-01,2017-01-01
PLNT,2023-07-01,
PLT,2012-12-01,2020-11-01
PMTC,2012-12-01,2014-03-01
PNFP,2018-01-01,
PNM,2012-12-01,2025-02-01
PNR,2012-12-01,2013-12-01
PNRA,2012-12-01,2017-08-01
POL,2015-06-01,2021-02-01
POOL,2017-01-01,2021-01-01
POR,2022-07-01,
POST,2013-09-01,
POWI,2022-01-01,2026-02-01
PPC,2019-11-01,
PPDI,2012-12-01,2013-12-01
PR,2023-11-01,
PRAH,2018-08-01,2021-08-01
PRG,2021-03-01,2022-05-01
PRGO,2012-12-01,2013-12-01
PRGO,2021-10-01,2026-02-01
PRI,2013-04-01,
PRSP,2012-12-01,2013-09-01
PRSP,2021-03-01,2021-06-01
PRXL,2017-01-01,2017-11-01
PSB,2019-10-01,2022-08-01
PSN,2024-10-01,
PSS,2012-12-01,2013-09-01
PSTG,2024-02-01,2026-06-01
PTC,2014-03-01,2021-05-01
PTEN,2012-12-01,2021-01-01
PVH,2012-12-01,2013-12-01
PVH,2022-10-01,
PVTB,2017-01-01,2017-07-01
PXP,2012-12-01,2013-12-01
PZZA,2017-01-01,2023-11-01
QCP,2017-01-01,2018-09-01
QDEL,2021-01-01,2024-08-01
QEP,2017-01-01,2019-11-01
QLGC,2012-12-01,2013-09-01
QLYS,2021-01-01,
QRVO,2015-06-01,2015-07-01
QSFT,2012-12-01,2013-09-01
R,2017-08-01,
RAH,2012-12-01,2013-09-01
RAMP,2018-12-01,2022-07-01
RAX,2012-12-01,2017-01-01
RBA,2024-07-01,
RBC,2012-12-01,2022-01-01
RBC,2023-11-01,
RCII,2012-12-01,2017-01-01
RCM,2021-07-01,2024-12-01
RDC,2015-06-01,2019-05-01
RDK,2012-12-01,2013-12-01
RE,2012-12-01,2018-01-01
REG,2012-12-01,2017-04-01
REXR,2021-03-01,
RFMD,2012-12-01,2015-06-01
RGA,2012-12-01,
RGEN,2019-11-01,
RGLD,2013-12-01,
RGS,2012-12-01,2015-06-01
